hobo_event_n,dt,site,yield_mm
1,2018-07-26T16:45:00Z,SFD,0.018396516246440255
1,2018-07-26T16:45:00Z,TFB,18.98959600901065
1,2018-07-26T16:45:00Z,TFD,20.871726806055662
1,2018-07-26T16:50:00Z,SFA,0.026010110431975556
1,2018-07-26T16:50:00Z,SFB,0.015244584911639087
1,2018-07-26T16:50:00Z,SFC,0.006567963467509548
1,2018-07-26T16:50:00Z,SFD,0.021750067139438528
1,2018-07-26T16:50:00Z,TFB,19.592471527418134
1,2018-07-26T16:50:00Z,TFD,21.640358129629586
1,2018-07-26T16:55:00Z,SFA,0.029953255521820498
1,2018-07-26T16:55:00Z,SFB,0.017494913224485934
1,2018-07-26T16:55:00Z,SFC,0.008209885076017399
1,2018-07-26T16:55:00Z,SFD,0.027667957813655362
1,2018-07-26T16:55:00Z,TFB,20.6555464918922
1,2018-07-26T16:55:00Z,TFD,22.826376709189802
1,2018-07-26T17:00:00Z,SFA,0.0350590002160272
1,2018-07-26T17:00:00Z,SFB,0.02028505738605555
1,2018-07-26T17:00:00Z,SFC,0.01013641625664215
1,2018-07-26T17:00:00Z,SFD,0.035714879832141166
1,2018-07-26T17:00:00Z,TFB,21.99569993492228
1,2018-07-26T17:00:00Z,TFD,24.329590360765554
1,2018-07-26T17:05:00Z,SFA,0.041254710235066744
1,2018-07-26T17:05:00Z,SFB,0.023803929336982797
1,2018-07-26T17:05:00Z,SFC,0.012799465663119262
1,2018-07-26T17:05:00Z,SFD,0.04474336329938834
1,2018-07-26T17:05:00Z,TFB,23.533579391808278
1,2018-07-26T17:05:00Z,TFD,26.024195497564612
1,2018-07-26T17:10:00Z,SFA,0.04846775129941015
1,2018-07-26T17:10:00Z,SFB,0.02824044101790253
1,2018-07-26T17:10:00Z,SFC,0.01665094194918419
1,2018-07-26T17:10:00Z,SFD,0.053605938319889294
1,2018-07-26T17:10:00Z,TFB,25.189832397850076
1,2018-07-26T17:10:00Z,TFD,27.78438853279472
1,2018-07-26T17:15:00Z,SFA,0.056625489129528514
1,2018-07-26T17:15:00Z,SFB,0.03378350436944963
1,2018-07-26T17:15:00Z,SFC,0.02214275376857237
1,2018-07-26T17:15:00Z,SFD,0.06115513499813639
1,2018-07-26T17:15:00Z,TFB,26.885106488347574
1,2018-07-26T17:15:00Z,TFD,29.484365879663628
1,2018-07-26T17:20:00Z,SFA,0.06791335881529806
1,2018-07-26T17:20:00Z,SFB,0.04168751321409135
1,2018-07-26T17:20:00Z,SFC,0.030512413872118185
1,2018-07-26T17:20:00Z,SFD,0.06947378151137319
1,2018-07-26T17:20:00Z,TFB,29.021545360503037
1,2018-07-26T17:20:00Z,TFD,31.51118460860196
1,2018-07-26T17:25:00Z,SFA,0.08175218065969822
1,2018-07-26T17:25:00Z,SFB,0.05139732385773313
1,2018-07-26T17:25:00Z,SFC,0.0409428884400493
1,2018-07-26T17:25:00Z,SFD,0.07912021370681416
1,2018-07-26T17:25:00Z,TFB,31.558915565443662
1,2018-07-26T17:25:00Z,TFD,33.87495672632275
1,2018-07-26T17:30:00Z,SFA,0.0939223982028548
1,2018-07-26T17:30:00Z,SFB,0.06038754196616711
1,2018-07-26T17:30:00Z,SFC,0.05080426627019111
1,2018-07-26T17:30:00Z,SFD,0.08666022319390815
1,2018-07-26T17:30:00Z,TFB,33.754298919356756
1,2018-07-26T17:30:00Z,TFD,35.88446105045743
1,2018-07-26T17:35:00Z,SFA,0.10579601374873394
1,2018-07-26T17:35:00Z,SFB,0.06999457742093719
1,2018-07-26T17:35:00Z,SFC,0.06176104739696096
1,2018-07-26T17:35:00Z,SFD,0.09135873538648245
1,2018-07-26T17:35:00Z,TFB,35.78032480907123
1,2018-07-26T17:35:00Z,TFD,37.61191952720725
