"Plot Title: 10563962_TF-B_180719"
"#","Date Time, GMT-05:00","Abs Pres, kPa (LGR S/N: 10563962, SEN S/N: 10563962, LBL: P)","Temp, °C (LGR S/N: 10563962, SEN S/N: 10563962, LBL: T)","Abs Pres Barom., kPa (LGR S/N: 10710527, SEN S/N: 10710527)","Sensor Depth, meters (LGR S/N: 10563962)","Coupler Detached (LGR S/N: 10563962)","Coupler Attached (LGR S/N: 10563962)","Stopped (LGR S/N: 10563962)","End Of File (LGR S/N: 10563962)"
1,09/07/18 04:15:00 PM,96.024,16.523,,,Logged,,,
2,09/07/18 04:20:00 PM,96.028,16.332,,,,,,
3,09/07/18 04:25:00 PM,96.025,16.237,,,,,,
4,09/07/18 04:30:00 PM,96.013,16.141,,,,,,
5,09/07/18 04:35:00 PM,96.020,16.046,,,,,,
6,09/07/18 04:40:00 PM,96.017,15.951,,,,,,
7,09/07/18 04:45:00 PM,96.017,15.951,,,,,,
8,09/07/18 04:50:00 PM,96.034,15.855,,,,,,
9,09/07/18 04:55:00 PM,96.024,15.855,,,,,,
10,09/07/18 05:00:00 PM,96.041,15.760,95.899,0.014,,,,
11,09/07/18 05:05:00 PM,96.038,15.664,,0.014,,,,
12,09/07/18 05:10:00 PM,96.058,15.664,,0.015,,,,
13,09/07/18 05:15:00 PM,96.036,15.569,95.912,0.013,,,,
14,09/07/18 05:20:00 PM,96.043,15.473,,0.013,,,,
15,09/07/18 05:25:00 PM,96.040,15.378,,0.012,,,,
16,09/07/18 05:30:00 PM,96.067,15.282,95.927,0.014,,,,
17,09/07/18 05:35:00 PM,96.045,15.187,,0.012,,,,
18,09/07/18 05:40:00 PM,96.032,15.091,,0.011,,,,
19,09/07/18 05:45:00 PM,96.030,14.996,95.924,0.011,,,,
20,09/07/18 05:50:00 PM,96.039,14.996,,0.012,,,,
21,09/07/18 05:55:00 PM,96.037,14.900,,0.012,,,,
22,09/07/18 06:00:00 PM,96.046,14.900,95.915,0.013,,,,
23,09/07/18 06:05:00 PM,96.044,14.804,,0.012,,,,
24,09/07/18 06:10:00 PM,96.041,14.709,,0.011,,,,
25,09/07/18 06:15:00 PM,96.070,14.709,95.939,0.013,,,,
26,09/07/18 06:20:00 PM,96.070,14.709,,0.013,,,,
27,09/07/18 06:25:00 PM,96.058,14.613,,0.012,,,,
28,09/07/18 06:30:00 PM,96.058,14.613,95.935,0.013,,,,
29,09/07/18 06:35:00 PM,96.068,14.613,,0.013,,,,
30,09/07/18 06:40:00 PM,96.085,14.517,,0.014,,,,
31,09/07/18 06:45:00 PM,96.085,14.517,95.961,0.013,,,,
32,09/07/18 06:50:00 PM,96.092,14.421,,0.012,,,,
33,09/07/18 06:55:00 PM,96.102,14.421,,0.013,,,,
34,09/07/18 07:00:00 PM,96.102,14.421,95.987,0.012,,,,
35,09/07/18 07:05:00 PM,96.099,14.325,,0.012,,,,
36,09/07/18 07:10:00 PM,96.109,14.325,,0.013,,,,
37,09/07/18 07:15:00 PM,96.106,14.230,95.972,0.014,,,,
38,09/07/18 07:20:00 PM,96.096,14.230,,0.012,,,,
39,09/07/18 07:25:00 PM,96.103,14.134,,0.012,,,,
40,09/07/18 07:30:00 PM,96.111,14.038,95.986,0.013,,,,
41,09/07/18 07:35:00 PM,96.118,13.942,,0.013,,,,
42,09/07/18 07:40:00 PM,96.115,13.846,,0.012,,,,
43,09/07/18 07:45:00 PM,96.115,13.846,96.008,0.011,,,,
44,09/07/18 07:50:00 PM,96.122,13.750,,0.012,,,,
45,09/07/18 07:55:00 PM,96.129,13.654,,0.013,,,,
46,09/07/18 08:00:00 PM,96.119,13.654,96.005,0.012,,,,
47,09/07/18 08:05:00 PM,96.139,13.654,,0.014,,,,
48,09/07/18 08:10:00 PM,96.117,13.558,,0.012,,,,
49,09/07/18 08:15:00 PM,96.136,13.558,96.001,0.014,,,,
50,09/07/18 08:20:00 PM,96.146,13.558,,0.014,,,,
51,09/07/18 08:25:00 PM,96.134,13.461,,0.012,,,,
52,09/07/18 08:30:00 PM,96.134,13.461,96.019,0.012,,,,
53,09/07/18 08:35:00 PM,96.131,13.365,,0.012,,,,
54,09/07/18 08:40:00 PM,96.128,13.269,,0.013,,,,
55,09/07/18 08:45:00 PM,96.138,13.269,95.996,0.014,,,,
56,09/07/18 08:50:00 PM,96.136,13.173,,0.014,,,,
57,09/07/18 08:55:00 PM,96.123,13.076,,0.013,,,,
58,09/07/18 09:00:00 PM,96.133,13.076,95.994,0.014,,,,
59,09/07/18 09:05:00 PM,96.111,12.980,,0.012,,,,
60,09/07/18 09:10:00 PM,96.111,12.980,,0.012,,,,
61,09/07/18 09:15:00 PM,96.108,12.883,95.994,0.012,,,,
62,09/07/18 09:20:00 PM,96.098,12.883,,0.011,,,,
63,09/07/18 09:25:00 PM,96.108,12.883,,0.012,,,,
64,09/07/18 09:30:00 PM,96.108,12.883,95.988,0.012,,,,
65,09/07/18 09:35:00 PM,96.118,12.883,,0.014,,,,
66,09/07/18 09:40:00 PM,96.108,12.883,,0.013,,,,
67,09/07/18 09:45:00 PM,96.118,12.883,95.974,0.015,,,,
68,09/07/18 09:50:00 PM,96.118,12.883,,0.014,,,,
69,09/07/18 09:55:00 PM,96.108,12.883,,0.013,,,,
70,09/07/18 10:00:00 PM,96.098,12.883,95.984,0.012,,,,
71,09/07/18 10:05:00 PM,96.128,12.883,,0.014,,,,
72,09/07/18 10:10:00 PM,96.118,12.883,,0.013,,,,
73,09/07/18 10:15:00 PM,96.118,12.883,95.998,0.012,,,,
74,09/07/18 10:20:00 PM,96.118,12.883,,0.012,,,,
75,09/07/18 10:25:00 PM,96.128,12.883,,0.013,,,,
76,09/07/18 10:30:00 PM,96.135,12.787,95.998,0.014,,,,
77,09/07/18 10:35:00 PM,96.125,12.787,,0.013,,,,
78,09/07/18 10:40:00 PM,96.125,12.787,,0.013,,,,
79,09/07/18 10:45:00 PM,96.135,12.787,96.000,0.014,,,,
80,09/07/18 10:50:00 PM,96.122,12.690,,0.012,,,,
81,09/07/18 10:55:00 PM,96.132,12.690,,0.013,,,,
82,09/07/18 11:00:00 PM,96.132,12.690,96.000,0.013,,,,
83,09/07/18 11:05:00 PM,96.130,12.594,,0.013,,,,
84,09/07/18 11:10:00 PM,96.139,12.594,,0.013,,,,
85,09/07/18 11:15:00 PM,96.130,12.594,96.016,0.012,,,,
86,09/07/18 11:20:00 PM,96.139,12.594,,0.013,,,,
87,09/07/18 11:25:00 PM,96.130,12.594,,0.013,,,,
88,09/07/18 11:30:00 PM,96.120,12.594,95.990,0.013,,,,
89,09/07/18 11:35:00 PM,96.120,12.594,,0.013,,,,
90,09/07/18 11:40:00 PM,96.120,12.594,,0.013,,,,
91,09/07/18 11:45:00 PM,96.139,12.594,95.998,0.014,,,,
92,09/07/18 11:50:00 PM,96.139,12.594,,0.014,,,,
93,09/07/18 11:55:00 PM,96.139,12.594,,0.014,,,,
94,09/08/18 12:00:00 AM,96.130,12.594,96.002,0.013,,,,
95,09/08/18 12:05:00 AM,96.130,12.594,,0.014,,,,
96,09/08/18 12:10:00 AM,96.130,12.594,,0.014,,,,
97,09/08/18 12:15:00 AM,96.120,12.594,95.986,0.014,,,,
98,09/08/18 12:20:00 AM,96.130,12.594,,0.014,,,,
99,09/08/18 12:25:00 AM,96.120,12.594,,0.012,,,,
100,09/08/18 12:30:00 AM,96.110,12.594,96.016,0.010,,,,
101,09/08/18 12:35:00 AM,96.110,12.594,,0.011,,,,
102,09/08/18 12:40:00 AM,96.110,12.594,,0.012,,,,
103,09/08/18 12:45:00 AM,96.110,12.594,95.978,0.013,,,,
104,09/08/18 12:50:00 AM,96.110,12.594,,0.014,,,,
105,09/08/18 12:55:00 AM,96.100,12.594,,0.013,,,,
106,09/08/18 01:00:00 AM,96.090,12.594,95.968,0.012,,,,
107,09/08/18 01:05:00 AM,96.071,12.594,,0.011,,,,
108,09/08/18 01:10:00 AM,96.078,12.497,,0.012,,,,
109,09/08/18 01:15:00 AM,96.078,12.497,95.951,0.013,,,,
110,09/08/18 01:20:00 AM,96.056,12.401,,0.011,,,,
111,09/08/18 01:25:00 AM,96.066,12.401,,0.012,,,,
112,09/08/18 01:30:00 AM,96.053,12.304,95.943,0.011,,,,
113,09/08/18 01:35:00 AM,96.053,12.304,,0.011,,,,
114,09/08/18 01:40:00 AM,96.051,12.207,,0.011,,,,
115,09/08/18 01:45:00 AM,96.051,12.207,95.945,0.011,,,,
116,09/08/18 01:50:00 AM,96.067,12.110,,0.012,,,,
117,09/08/18 01:55:00 AM,96.077,12.110,,0.012,,,,
118,09/08/18 02:00:00 AM,96.065,12.013,95.961,0.011,,,,
119,09/08/18 02:05:00 AM,96.075,12.013,,0.013,,,,
120,09/08/18 02:10:00 AM,96.065,12.013,,0.013,,,,
121,09/08/18 02:15:00 AM,96.072,11.916,95.931,0.014,,,,
122,09/08/18 02:20:00 AM,96.072,11.916,,0.014,,,,
123,09/08/18 02:25:00 AM,96.082,11.916,,0.014,,,,
124,09/08/18 02:30:00 AM,96.092,11.916,95.955,0.014,,,,
125,09/08/18 02:35:00 AM,96.082,11.916,,0.013,,,,
126,09/08/18 02:40:00 AM,96.092,11.916,,0.013,,,,
127,09/08/18 02:45:00 AM,96.101,11.916,95.967,0.014,,,,
128,09/08/18 02:50:00 AM,96.111,11.916,,0.015,,,,
129,09/08/18 02:55:00 AM,96.092,11.916,,0.013,,,,
130,09/08/18 03:00:00 AM,96.089,11.819,95.963,0.013,,,,
131,09/08/18 03:05:00 AM,96.079,11.819,,0.012,,,,
132,09/08/18 03:10:00 AM,96.099,11.819,,0.014,,,,
133,09/08/18 03:15:00 AM,96.089,11.819,95.959,0.013,,,,
134,09/08/18 03:20:00 AM,96.099,11.819,,0.014,,,,
135,09/08/18 03:25:00 AM,96.086,11.722,,0.013,,,,
136,09/08/18 03:30:00 AM,96.096,11.722,95.961,0.014,,,,
137,09/08/18 03:35:00 AM,96.116,11.722,,0.015,,,,
138,09/08/18 03:40:00 AM,96.123,11.625,,0.015,,,,
139,09/08/18 03:45:00 AM,96.103,11.625,95.977,0.013,,,,
140,09/08/18 03:50:00 AM,96.113,11.625,,0.013,,,,
141,09/08/18 03:55:00 AM,96.110,11.528,,0.012,,,,
142,09/08/18 04:00:00 AM,96.101,11.528,95.999,0.010,,,,
143,09/08/18 04:05:00 AM,96.120,11.528,,0.013,,,,
144,09/08/18 04:10:00 AM,96.118,11.431,,0.013,,,,
145,09/08/18 04:15:00 AM,96.108,11.431,95.988,0.012,,,,
146,09/08/18 04:20:00 AM,96.125,11.334,,0.013,,,,
147,09/08/18 04:25:00 AM,96.135,11.334,,0.013,,,,
148,09/08/18 04:30:00 AM,96.122,11.236,96.016,0.011,,,,
149,09/08/18 04:35:00 AM,96.139,11.139,,0.012,,,,
150,09/08/18 04:40:00 AM,96.120,11.139,,0.010,,,,
151,09/08/18 04:45:00 AM,96.127,11.041,96.024,0.011,,,,
152,09/08/18 04:50:00 AM,96.136,11.041,,0.011,,,,
153,09/08/18 04:55:00 AM,96.144,10.944,,0.012,,,,
154,09/08/18 05:00:00 AM,96.153,10.944,96.030,0.013,,,,
155,09/08/18 05:05:00 AM,96.170,10.846,,0.013,,,,
156,09/08/18 05:10:00 AM,96.180,10.846,,0.013,,,,
157,09/08/18 05:15:00 AM,96.200,10.846,96.070,0.013,,,,
158,09/08/18 05:20:00 AM,96.217,10.748,,0.014,,,,
159,09/08/18 05:25:00 AM,96.226,10.748,,0.015,,,,
160,09/08/18 05:30:00 AM,96.217,10.748,96.088,0.013,,,,
161,09/08/18 05:35:00 AM,96.214,10.651,,0.013,,,,
162,09/08/18 05:40:00 AM,96.214,10.651,,0.013,,,,
163,09/08/18 05:45:00 AM,96.211,10.553,96.092,0.012,,,,
164,09/08/18 05:50:00 AM,96.211,10.553,,0.011,,,,
165,09/08/18 05:55:00 AM,96.238,10.455,,0.013,,,,
166,09/08/18 06:00:00 AM,96.245,10.357,96.126,0.012,,,,
167,09/08/18 06:05:00 AM,96.235,10.357,,0.011,,,,
168,09/08/18 06:10:00 AM,96.245,10.357,,0.011,,,,
169,09/08/18 06:15:00 AM,96.262,10.259,96.144,0.012,,,,
170,09/08/18 06:20:00 AM,96.252,10.259,,0.011,,,,
171,09/08/18 06:25:00 AM,96.233,10.259,,0.010,,,,
172,09/08/18 06:30:00 AM,96.233,10.259,96.136,0.010,,,,
173,09/08/18 06:35:00 AM,96.243,10.259,,0.011,,,,
174,09/08/18 06:40:00 AM,96.243,10.259,,0.011,,,,
175,09/08/18 06:45:00 AM,96.226,10.357,96.128,0.010,,,,
176,09/08/18 06:50:00 AM,96.245,10.357,,0.012,,,,
177,09/08/18 06:55:00 AM,96.255,10.357,,0.013,,,,
178,09/08/18 07:00:00 AM,96.255,10.357,96.126,0.013,,,,
179,09/08/18 07:05:00 AM,96.265,10.357,,0.014,,,,
180,09/08/18 07:10:00 AM,96.265,10.357,,0.013,,,,
181,09/08/18 07:15:00 AM,96.275,10.357,96.145,0.013,,,,
182,09/08/18 07:20:00 AM,96.267,10.455,,0.013,,,,
183,09/08/18 07:25:00 AM,96.258,10.455,,0.012,,,,
184,09/08/18 07:30:00 AM,96.267,10.455,96.135,0.013,,,,
185,09/08/18 07:35:00 AM,96.277,10.455,,0.014,,,,
186,09/08/18 07:40:00 AM,96.267,10.455,,0.013,,,,
187,09/08/18 07:45:00 AM,96.270,10.553,96.143,0.013,,,,
188,09/08/18 07:50:00 AM,96.280,10.553,,0.013,,,,
189,09/08/18 07:55:00 AM,96.273,10.651,,0.012,,,,
190,09/08/18 08:00:00 AM,96.285,10.748,96.165,0.012,,,,
191,09/08/18 08:05:00 AM,96.288,10.846,,0.012,,,,
192,09/08/18 08:10:00 AM,96.283,11.041,,0.011,,,,
193,09/08/18 08:15:00 AM,96.303,11.041,96.176,0.013,,,,
194,09/08/18 08:20:00 AM,96.305,11.139,,0.013,,,,
195,09/08/18 08:25:00 AM,96.296,11.139,,0.012,,,,
196,09/08/18 08:30:00 AM,96.305,11.139,96.184,0.012,,,,
197,09/08/18 08:35:00 AM,96.315,11.139,,0.013,,,,
198,09/08/18 08:40:00 AM,96.308,11.236,,0.013,,,,
199,09/08/18 08:45:00 AM,96.318,11.236,96.182,0.014,,,,
200,09/08/18 08:50:00 AM,96.337,11.236,,0.016,,,,
201,09/08/18 08:55:00 AM,96.311,11.334,,0.013,,,,
202,09/08/18 09:00:00 AM,96.311,11.334,96.180,0.013,,,,
203,09/08/18 09:05:00 AM,96.311,11.334,,0.013,,,,
204,09/08/18 09:10:00 AM,96.323,11.431,,0.014,,,,
205,09/08/18 09:15:00 AM,96.303,11.431,96.191,0.011,,,,
206,09/08/18 09:20:00 AM,96.323,11.431,,0.013,,,,
207,09/08/18 09:25:00 AM,96.316,11.528,,0.012,,,,
208,09/08/18 09:30:00 AM,96.326,11.528,96.207,0.012,,,,
209,09/08/18 09:35:00 AM,96.348,11.625,,0.014,,,,
210,09/08/18 09:40:00 AM,96.331,11.722,,0.013,,,,
211,09/08/18 09:45:00 AM,96.324,11.819,96.206,0.012,,,,
212,09/08/18 09:50:00 AM,96.294,11.819,,0.011,,,,
213,09/08/18 09:55:00 AM,96.307,11.916,,0.014,,,,
214,09/08/18 10:00:00 AM,96.309,12.013,96.158,0.015,,,,
215,09/08/18 10:05:00 AM,96.300,12.013,,0.014,,,,
216,09/08/18 10:10:00 AM,96.302,12.110,,0.014,,,,
217,09/08/18 10:15:00 AM,96.307,12.304,96.170,0.014,,,,
218,09/08/18 10:20:00 AM,96.300,12.401,,0.014,,,,
219,09/08/18 10:25:00 AM,96.320,12.401,,0.016,,,,
220,09/08/18 10:30:00 AM,96.291,12.401,96.155,0.014,,,,
221,09/08/18 10:35:00 AM,96.303,12.497,,0.014,,,,
222,09/08/18 10:40:00 AM,96.303,12.497,,0.014,,,,
223,09/08/18 10:45:00 AM,96.296,12.594,96.173,0.013,,,,
224,09/08/18 10:50:00 AM,96.306,12.594,,0.014,,,,
225,09/08/18 10:55:00 AM,96.306,12.594,,0.014,,,,
