site,event_n,recession_n,Start_dt_EST,End_dt_EST,notes
TF-D,4,TFD_E4_1,"	2018-09-21 08:15:00",2018-09-21 09:35:00,
TF-D,4,TFD_E4_2,"	2018-09-21 10:15:00",2018-09-21 11:25:00,
TF-D,4,TFD_E4_3,"	2018-09-21 22:30:00",2018-09-22 00:00:00,
TF-D,5,TFD_E5_1,"	2018-09-25 10:55:00",2018-09-25 18:25:00,
TF-D,5,TFD_E5_2,"	2018-09-26 16:35:00",2018-09-26 23:55:00,
TF-D,6,TFD_E6_1,"	2018-10-02 00:05:00",2018-10-02 19:30:00,
TF-D,7,TFD_E7_1,"	2018-10-11 06:00:00",2018-10-11 09:05:00,
TF-D,7,TFD_E7_2,"	2018-10-11 11:30:00",2018-10-11 12:40:00,
TF-D,7,TFD_E7_3,"	2018-10-11 15:50:00",2018-10-11 17:05:00,
TF-D,7,TFD_E7_4,"	2018-10-11 18:30:00",2018-10-11 19:15:00,
TF-D,8,TFD_E8_1,"	2018-11-01 21:45:00",2018-11-02 11:05:00,
TF-D,9,TFD_E9_1,"	2018-11-02 22:15:00",2018-11-03 03:35:00,Cut off
TF-D,9,TFD_E9_2,"	2018-11-03 12:00:00",2018-11-03 13:30:00,
