hobo_event_n,dt,yield_mm,sec,sec_norm,yld_mm_norm1,yld_mm_norm2,power_yield,nobs,mod,r,m,i,r2
1,2018-07-26T15:30:00Z,0.02173645674569159,0S,0S,0.04435973580922671,8.817532311505242e-4,1.0020323743244308,194,,0.09270040476507592,0.8887760490153658,1.7433386695712625,0.00859336504360891
2,2018-09-03T23:00:00Z,0.018772394462188192,0S,0S,1.4438799281263324,0.05139281386085724,1.125622625085652,186,,0.12428044385914437,1.618117753842917,2.0482427738495583,0.015445628725825935
3,2018-09-11T06:00:00Z,0.013832290656349193,0S,0S,0.039283479602826216,0.001396973019401479,1.003221828217472,235,,-0.038955272419263456,-0.3549918987070259,2.328090389019064,0.0015175132492590282
4,2018-09-21T11:00:00Z,0.012844269895181393,0S,0S,0.21643106041863056,0.008437221414527109,1.0196173606073706,277,,0.005227659007149505,0.04617008008848007,2.0994990484037785,2.7328418695031347e-5
5,2018-09-25T15:00:00Z,0.011856249134013593,0S,0S,0.8262034112278103,0.023323200167446944,1.0551718588301917,503,,0.1809133920033164,1.018405276319357,1.2475139505763841,0.03272965540614563
6,2018-10-02T05:00:00Z,0.008892186850510195,0S,0S,0.8232393489443068,0.02271729001040352,1.0537007520342119,589,,0.12393475453235822,0.9317171158967823,1.3685323294457536,0.015359823380995887
7,2018-10-11T10:00:00Z,0.012844269895181393,0S,0S,0.039238095469305706,0.001196142374003393,1.0027580159468044,332,,0.03930706982338581,0.31298776554518626,1.9720579112631653,0.0015450457381005274
8,2018-11-01T17:00:00Z,0.01679635293985259,0S,0S,0.046960725024566094,0.001516067296161195,1.0034969741528792,471,,0.17922648191047058,1.1746650017456666,1.1539721055052423,0.03212213181800424
9,2018-11-03T03:00:00Z,0.01679635293985259,0S,0S,0.03847699537574042,0.001015523619865153,1.0023410655733842,617,,0.25227014853235463,1.59003885390303,1.0405330213359645,0.06364022784053627
