site,event_n,recession_n,Start_dt_EST,End_dt_EST,notes
SF-A,1,SFA_E1_1,2018-07-26T12:05:00,2018-07-26T13:00:00,
SF-A,2,SFA_E2_1,2018-09-03T18:30:00,2018-09-04T00:30:00,
SF-A,3,SFA_E3_1,2018-09-11T04:55:00,2018-09-11T08:00:00,
SF-B,1,SFB_E1_1,2018-07-26T12:10:00,2018-07-26T13:30:00,
SF-B,1,SFB_E1_2,2018-07-26T13:35:00,2018-07-26T14:30:00,
SF-B,2,SFB_E2_1,2018-09-03T18:40:00,2018-09-04T00:30:00,
SF-B,3,SFB_E3_1,2018-09-11T03:20:00,2018-09-11T12:45:00,
